flow_rate,pressure,is_leak
64.0300540886615,72.85752918867573,0.0
61.06152521118637,71.15202829022927,0.0
60.2863272192914,69.59131117453312,0.0
60.75238716225321,70.18906774776559,0.0
55.21620207710578,72.49456714615096,0.0
61.44643196720986,68.17628120439592,0.0
58.23018999848858,71.62006210115713,0.0
50.742601750529616,68.4185923870064,0.0
62.72589627578048,72.18545651256342,0.0
62.038251417292045,67.26499821462619,0.0
63.339063231823594,82.27813398139682,0.0
64.20183125070311,63.428335597717215,0.0
62.17599772630409,60.37050242029538,0.0
59.29540304332727,70.88400469496283,0.0
58.66822362510486,65.28461312842569,0.0
52.64800091834952,66.17472868143312,0.0
68.32631672966338,72.6293160758978,0.0
63.528696396706394,67.76116377219176,0.0
68.08121415243622,68.01909358440233,0.0
68.05547843576934,69.30900126748179,0.0
61.38877566659756,73.10473287196689,0.0
67.81112599660622,60.84078369439412,0.0
57.430348301890945,70.339465594269,0.0
111.20406235997578,41.51166569863393,1.0
67.99490121761988,68.99322820305089,0.0
58.86210144635826,71.80205809502476,0.0
60.87898796817232,73.23277578715314,0.0
53.106972203603284,67.89770803696747,0.0
63.5788165540101,68.31177367116591,0.0
56.82036473404488,73.94414299455971,0.0
62.807552461960924,77.2832465221187,0.0
56.342414374434426,70.6428406526827,0.0
57.943816246053096,87.79827977257263,0.0
47.170851617134524,72.49602467090578,0.0
59.72194671757125,68.76034209112909,0.0
57.53271550268095,63.6062678486119,0.0
65.51736741278285,70.66774972258992,0.0
57.05984323387,69.27051571502582,0.0
68.95483392119718,75.73510415718286,0.0
57.53162704729238,71.55068557412298,0.0
55.84041717692783,57.142093533953194,0.0
53.64061243408732,65.17678042256716,0.0
55.05317010719623,75.06096204484085,0.0
56.10486138332688,70.67964349303399,0.0
58.80830676047618,70.39893144085835,0.0
57.70165889616254,64.41916060861703,0.0
58.238777473136864,63.87343492067793,0.0
62.23320148511947,72.04317815447764,0.0
62.31286510718562,68.20500528847334,0.0
55.67675258354704,77.59338185939842,0.0
58.758047979241226,77.1564438569817,0.0
64.87741713743358,71.5312519146556,0.0
63.42381610997812,73.81310313125017,0.0
56.91787195643448,64.24462623576791,0.0
57.85429683829577,69.12848073645114,0.0
53.3205306243822,73.81997352472975,0.0
60.757442574724536,60.20012140430697,0.0
